id,lastpage,study,vig1rep1,vig1rep2,vig1eve11,vig1eve12,vig1eve21,vig1eve22,vig1def1,vig1def2,vig1cha1,vig1cha2,vig1cha3,vig1com1,vig1com2,vig1com3,vig1qua1,vig1qua2,vig1qua3,vig2rep1,vig2rep2,vig2rep3,vig2rep4,vig2eve1,vig2eve2,vig2eve3,vig2eve4,vig2def1,vig2def2,vig2def3,vig2def4,vig2cha1,vig2cha2,vig2cha3,vig2cha4,vig2com1,vig2com2,vig2com3,vig2com4,vig2qua1,veg2qua2,vig2qua3,vig3rep1,vig3rep2,vig3eve1,vig3eve2,vig3def11,vig3def12,vig3def21,vig3def22,vig3cha1,vig3cha2,vig3cha3,vig3com11,vig3com12,vig3com13,vig3com21,vig3com22,vig3com23,vig3qua1,vig3qua2,vig3qua3,age,pol,gen,edu
74,11,6,,,,,,,,,,,,7,5,7,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,30,8,,,,,,,,,,,,,,,,,,,,,,3,1,1,7,,,,,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
77,11,4,,,,,,,7,1,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,10,5,,,,,,,,,4,4,4,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,N,Y,,52,5,1,7
80,10,3,,,,,7,7,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,Y,,,,,,
82,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,N,Y,Y,70,3,3,4
83,10,3,,,,,3,5,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,N,Y,,54,5,1,5
86,10,5,,,,,,,,,7,7,7,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,37,3,,,,,6,3,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,1,5
89,18,7,,,,,,,,,,,,,,,,,,7,1,1,7,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
90,37,1,7,1,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,6,3,9
91,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,37,4,,,,,,,7,7,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5,3,11
93,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,,,,N,Y,Y,65,4,3,14
94,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
95,37,4,,,,,,,7,7,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,5,1,7
96,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,7,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
97,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,N,Y,Y,44,8,3,14
98,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,46,4,3,14
99,18,7,,,,,,,,,,,,,,,,,,7,5,5,7,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
100,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,N,Y,,68,5,3,5
101,30,1,1,1,,,,,,,,,,,,,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,N,N,Y,,,,,,,,,,,,,,,,,,,,,82,5,1,12
103,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,N,Y,,72,5,3,7
104,18,8,,,,,,,,,,,,,,,,,,,,,,7,1,1,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
105,37,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,N,Y,,52,5,3,7
106,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,N,Y,,21,5,1,8
107,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,7,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,20,5,3,2
108,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,3,,,,N,Y,Y,30,5,1,12
109,37,6,,,,,,,,,,,,7,7,7,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,5,3,3
110,10,1,7,1,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,37,1,7,1,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,3,3,9
112,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,4,,,,N,Y,Y,63,3,3,7
113,18,8,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
114,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,N,Y,N,,,,
116,28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,,,,Y,,,,,,
